NAME_PROV	TASA_PARO_05	PROV_COSTERA	NIV_RENT_04
Albacete	10,008567	0	1
Badajoz	17,505084	0	1
Cáceres	12,981455	0	1
Córdoba	14,767194	0	1
Granada	12,901665	1	1
Jaén	15,916338	0	1
Lugo	6,684967	1	1
Ourense	10,488246	0	1
A Coruña	9,859223	1	2
Alicante	9,611898	1	2
Almería	9,162806	1	2
Asturias	10,240363	1	2
Ávila	8,844508	0	2
Cádiz	17,652023	1	2
Cantabria	8,502295	1	2
Ciudad Real	10,580164	0	2
Cuenca	6,47821	0	2
Guadalajara	7,050285	0	2
Huelva	15,876516	1	2
Las Palmas	12,830075	1	2
León	10,819949	0	2
Málaga	11,657573	1	2
Murcia	8,009366	1	2
Palencia	7,474227	0	2
Pontevedra	11,021749	1	2
Salamanca	9,088	0	2
Santa Cruz de Tenerife	10,492766	1	2
Segovia	6,816655	0	2
Sevilla	13,857495	0	2
Soria	5,118602	0	2
Teruel	4,662379	0	2
Toledo	9,117195	0	2
Valencia	8,58698	1	2
Zamora	9,996733	0	2
Álava	7,088059	0	3
Baleares	7,21578	1	3
Barcelona	6,965572	1	3
Burgos	6,730066	0	3
Castellón	7,315701	1	3
Girona	7,33199	1	3
Guipúzcoa	5,648889	1	3
Huesca	6,886841	0	3
Lleida	5,885396	0	3
Madrid	6,80429	0	3
Navarra	5,647241	0	3
Rioja	6,180243	0	3
Tarragona	7,062623	1	3
Valladolid	9,229526	0	3
Vizcaya	8,451806	1	3
Zaragoza	5,761757	0	3
